Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
stroop_missing,stroop,,yesno,Is this record permanently missing?,,,,,,,,,,,,
stroop_missing_why,stroop,,dropdown,Why is this record permanently missing?,"COLOR_BLIND, Subject is color blind | NOT_COLLECTED, Data were not collected | NOT_SAVED, Not saved on laptop | OTHER, Other",,,,,,,,,,,
stroop_timeofday,stroop,,text,Time-of-day of Stroop test,,,time,,,,,,,,,
stroop_age,stroop,,text,Age at Stroop,,,number,0,,,,,,,,
stroop_total_mean,stroop,,text,averaged RT over all correct trials in msec,,,number,,,,,,,,,
stroop_total_std,stroop,,text,standard deviation over all correct trials in msec,,,number,,,,,,,,,
stroop_mean_3stdl,stroop,,text,stroop_total_mean-3*stroop_total_std,,,number,,,,,,,,,
stroop_mean_3stdu,stroop,,text,stroop_total_mean+3*stroop_total_std,,,number,,,,,,,,,
stroop_conm_rr_mean,stroop,,text,mean RT (msec) for the condition: conm-RR,,,number,,,,,,,,,
stroop_conm_rs_mean,stroop,,text,mean RT (msec) for the condition: conm-RS,,,number,,,,,,,,,
stroop_connm_rr_mean,stroop,,text,mean RT (msec) for the condition: connm-RR,,,number,,,,,,,,,
stroop_connm_rs_mean,stroop,,text,mean RT (msec) for the condition: connm-RS,,,number,,,,,,,,,
stroop_incm_rr_mean,stroop,,text,mean RT (msec) for the condition: incm-RR,,,number,,,,,,,,,
stroop_incm_rs_mean,stroop,,text,mean RT (msec) for the condition: incm-RS,,,number,,,,,,,,,
stroop_incnm_rr_mean,stroop,,text,mean RT (msec) for the condition: incnm-RR,,,number,,,,,,,,,
stroop_incnm_rs_mean,stroop,,text,mean RT (msec) for the condition: incnm-RS,,,number,,,,,,,,,
stroop_conm_rr_median,stroop,,text,Median RT (msec) for the condition: conm-RR,,,number,,,,,,,,,
stroop_conm_rs_median,stroop,,text,Median RT (msec) for the condition: conm-RS,,,number,,,,,,,,,
stroop_connm_rr_median,stroop,,text,Median RT (msec) for the condition: connm-RR,,,number,,,,,,,,,
stroop_connm_rs_median,stroop,,text,Median RT (msec) for the condition: connm-RS,,,number,,,,,,,,,
stroop_incm_rr_median,stroop,,text,Median RT (msec) for the condition: incm-RR,,,number,,,,,,,,,
stroop_incm_rs_median,stroop,,text,Median RT (msec) for the condition: incm-RS,,,number,,,,,,,,,
stroop_incnm_rr_median,stroop,,text,Median RT (msec) for the condition: incnm-RR,,,number,,,,,,,,,
stroop_incnm_rs_median,stroop,,text,Median RT (msec) for the condition: incnm-RS,,,number,,,,,,,,,
stroop_conm_rr_std,stroop,,text,standard deviation (msec) for the condition: conm-RR,,,number,,,,,,,,,
stroop_conm_rs_std,stroop,,text,standard deviation (msec) for the condition: conm-RS,,,number,,,,,,,,,
stroop_connm_rr_std,stroop,,text,standard deviation (msec) for the condition: connm-RR,,,number,,,,,,,,,
stroop_connm_rs_std,stroop,,text,standard deviation (msec) for the condition: connm-RS,,,number,,,,,,,,,
stroop_incm_rr_std,stroop,,text,standard deviation (msec) for the condition: incm-RR,,,number,,,,,,,,,
stroop_incm_rs_std,stroop,,text,standard deviation (msec) for the condition: incm-RS,,,number,,,,,,,,,
stroop_incnm_rr_std,stroop,,text,standard deviation (msec) for the condition: incnm-RR,,,number,,,,,,,,,
stroop_incnm_rs_std,stroop,,text,standard deviation (msec) for the condition: incnm-RS,,,number,,,,,,,,,
stroop_conm_rr_z,stroop,,text,Z-score for the condition: conm-RR,,,number,,,,,,,,,
stroop_conm_rs_z,stroop,,text,Z-score for the condition: conm-RS,,,number,,,,,,,,,
stroop_connm_rr_z,stroop,,text,Z-score for the condition: connm-RR,,,number,,,,,,,,,
stroop_connm_rs_z,stroop,,text,Z-score for the condition: connm-RS,,,number,,,,,,,,,
stroop_incm_rr_z,stroop,,text,Z-score for the condition: incm-RR,,,number,,,,,,,,,
stroop_incm_rs_z,stroop,,text,Z-score for the condition: incm-RS,,,number,,,,,,,,,
stroop_incnm_rr_z,stroop,,text,Z-score for the condition: incnm-RR,,,number,,,,,,,,,
stroop_incnm_rs_z,stroop,,text,Z-score for the condition: incnm-RS,,,number,,,,,,,,,
stroop_conm_rr_error,stroop,,text,number of wrong responses for the condition: conm-RR,,,number,,,,,,,,,
stroop_conm_rs_error,stroop,,text,number of wrong responses for the condition: conm-RS,,,number,,,,,,,,,
stroop_connm_rr_error,stroop,,text,number of wrong responses for the condition: connm-RR,,,number,,,,,,,,,
stroop_connm_rs_error,stroop,,text,number of wrong responses for the condition: connm-RS,,,number,,,,,,,,,
stroop_incm_rr_error,stroop,,text,number of wrong responses for the condition: incm-RR,,,number,,,,,,,,,
stroop_incm_rs_error,stroop,,text,number of wrong responses for the condition: incm-RS,,,number,,,,,,,,,
stroop_incnm_rr_error,stroop,,text,number of wrong responses for the condition: incnm-RR,,,number,,,,,,,,,
stroop_incnm_rs_error,stroop,,text,number of wrong responses for the condition: incnm-RS,,,number,,,,,,,,,
stroop_conm_rr_miss,stroop,,text,number of missed responses for the condition: conm-RR,,,number,,,,,,,,,
stroop_conm_rs_miss,stroop,,text,number of missed responses for the condition: conm-RS,,,number,,,,,,,,,
stroop_connm_rr_miss,stroop,,text,number of missed responses for the condition: connm-RR,,,number,,,,,,,,,
stroop_connm_rs_miss,stroop,,text,number of missed responses for the condition: connm-RS,,,number,,,,,,,,,
stroop_incm_rr_miss,stroop,,text,number of missed responses for the condition: incm-RR,,,number,,,,,,,,,
stroop_incm_rs_miss,stroop,,text,number of missed responses for the condition: incm-RS,,,number,,,,,,,,,
stroop_incnm_rr_miss,stroop,,text,number of missed responses for the condition: incnm-RR,,,number,,,,,,,,,
stroop_incnm_rs_miss,stroop,,text,number of missed responses for the condition: incnm-RS,,,number,,,,,,,,,
stroop_stroopm_rr_diffrt,stroop,,text,Stroop-match-RR: difference RT(msec) = meanRT(incm-RR) minus meanRT(conm-RR),,,number,,,,,,,,,
stroop_stroopnm_rr_diffrt,stroop,,text,Stroop-nonmatch-RR: difference RT(msec) = meanRT(incnm-RR) minus meanRT(connm-RR),,,number,,,,,,,,,
stroop_stroopm_rs_diffrt,stroop,,text,Stroop-match-RS: difference RT(msec) = meanRT(incm-RS) minus meanRT(conm-RS),,,number,,,,,,,,,
