qname,Preferred prefix,URI
afni:GammaHRF,afni_AFNIsGammaHRF,http://purl.org/nidash/afni#GammaHRF
afni:LegendrePolynomialDriftModel,afni_AFNIsLegendrePolinomialDriftModel,http://purl.org/nidash/afni#LegendrePolynomialDriftModel
fsl:FSL_0000001,fsl_FSLsGammaDifferenceHRF,http://purl.org/nidash/fsl#FSL_0000001
fsl:FSL_0000002,fsl_GaussianRunningLineDriftModel,http://purl.org/nidash/fsl#FSL_0000002
fsl:FSL_0000003,fsl_FSLsTemporalDerivative,http://purl.org/nidash/fsl#FSL_0000003
fsl:FSL_0000004,fsl_driftCutoffPeriod,http://purl.org/nidash/fsl#FSL_0000004
fsl:FSL_0000005,fsl_featVersion,http://purl.org/nidash/fsl#FSL_0000005
fsl:FSL_0000006,fsl_FSLsGammaHRF,http://purl.org/nidash/fsl#FSL_0000006
nidm:NIDM_0000001,nidm_ContrastEstimation,http://purl.org/nidash/nidm#NIDM_0000001
nidm:NIDM_0000002,nidm_ContrastMap,http://purl.org/nidash/nidm#NIDM_0000002
nidm:NIDM_0000004,nidm_BinaryMap,http://purl.org/nidash/nidm#NIDM_0000004
nidm:NIDM_0000007,nidm_ClusterDefinitionCriteria,http://purl.org/nidash/nidm#NIDM_0000007
nidm:NIDM_0000008,nidm_ClusterLabelsMap,http://purl.org/nidash/nidm#NIDM_0000008
nidm:NIDM_0000009,nidm_Colin27CoordinateSystem,http://purl.org/nidash/nidm#NIDM_0000009
nidm:NIDM_0000011,nidm_ConjunctionInference,http://purl.org/nidash/nidm#NIDM_0000011
nidm:NIDM_0000012,nidm_ConnectivityCriterion,http://purl.org/nidash/nidm#NIDM_0000012
nidm:NIDM_0000013,nidm_ContrastStandardErrorMap,http://purl.org/nidash/nidm#NIDM_0000013
nidm:NIDM_0000014,nidm_LegendrePolynomialOrder,http://purl.org/nidash/nidm#NIDM_0000014
nidm:NIDM_0000015,nidm_Coordinate,http://purl.org/nidash/nidm#NIDM_0000015
nidm:NIDM_0000016,nidm_CoordinateSpace,http://purl.org/nidash/nidm#NIDM_0000016
