qname,Preferred prefix
obo:BFO_0000179,obo_BFOOWLspecificationlabel
obo:BFO_0000180,obo_BFOCLIFspecificationlabel
obo:IAO_0000002,obo_exampletobeeventuallyremoved
obo:IAO_0000111,obo_editorpreferredterm
obo:IAO_0000111,obo_editorpreferredterm
obo:IAO_0000111,obo_editorpreferredterm
obo:IAO_0000112,obo_exampleofusage
obo:IAO_0000114,obo_hascurationstatus
obo:IAO_0000115,obo_definition
obo:IAO_0000115,obo_definition
obo:IAO_0000115,obo_definition
obo:IAO_0000115,obo_definition
obo:IAO_0000116,obo_editornote
obo:IAO_0000117,obo_termeditor
obo:IAO_0000118,obo_alternativeterm
obo:IAO_0000119,obo_definitionsource
obo:IAO_0000120,obo_metadatacomplete
obo:IAO_0000121,obo_organizationalterm
obo:IAO_0000122,obo_readyforrelease
obo:IAO_0000123,obo_metadataincomplete
obo:IAO_0000124,obo_uncurated
obo:IAO_0000125,obo_pendingfinalvetting
obo:IAO_0000136,obo_isabout
obo:IAO_0000232,obo_curatornote
obo:IAO_0000412,obo_importedfrom
obo:IAO_0000423,obo_tobereplacedwithexternalontologyterm
obo:IAO_0000428,obo_requiresdiscussion
obo:IAO_0000600,obo_elucidation
obo:OBI_0000251,obo_cluster
obo:OBI_0001265,obo_FWERadjustedpvalue
obo:OBI_0001442,obo_qvalue
obo:STATO_0000030,obo_ChiSquaredstatistic
obo:STATO_0000039,obo_statistic
obo:STATO_0000051,obo_Poissondistribution
obo:STATO_0000067,obo_continuousprobabilitydistribution
obo:STATO_0000117,obo_discreteprobabilitydistribution
obo:STATO_0000119,obo_modelparameterestimation
obo:STATO_0000129,obo_hasvalue
obo:STATO_0000176,obo_tstatistic
obo:STATO_0000193,obo_studygrouppopulation
obo:STATO_0000225,obo_probabilitydistribution
obo:STATO_0000227,obo_normaldistribution
obo:STATO_0000276,obo_binomialdistribution
obo:STATO_0000282,obo_Fstatistic
obo:STATO_0000323,obo_contrastweightmatrix
obo:STATO_0000346,obo_covariancestructure
obo:STATO_0000357,obo_Toeplitzcovariancestructure
obo:STATO_0000362,obo_compoundsymmetrycovariancestructure
obo:STATO_0000370,obo_ordinaryleastsquaresestimation
obo:STATO_0000371,obo_weightedleastsquaresestimation
obo:STATO_0000372,obo_generalizedleastsquaresestimation
obo:STATO_0000373,obo_iterativelyreweightedleastsquaresestimation
obo:STATO_0000374,obo_feasiblegeneralizedleastsquaresestimation
obo:STATO_0000376,obo_Zstatistic
obo:STATO_0000405,obo_unstructuredcovariancestructure
iao:iao.owl,iao_IAORelease20150223
dc:contributor,dc_Contributor
dc:creator,dc_Creator
dc:date,dc_Date
dc:date,dc_Date
dc:description,dc_Description
dc:title,dc_Title
afni:GammaHRF,afni_AFNIsGammaHRF
afni:LegendrePolynomialDriftModel,afni_AFNIsLegendrePolinomialDriftModel
fsl:FSL_0000001,fsl_FSLsGammaDifferenceHRF
fsl:FSL_0000002,fsl_GaussianRunningLineDriftModel
fsl:FSL_0000003,fsl_FSLsTemporalDerivative
fsl:FSL_0000004,fsl_driftCutoffPeriod
fsl:FSL_0000005,fsl_featVersion
nidm:NIDM_0000001,nidm_ContrastEstimation
nidm:NIDM_0000002,nidm_ContrastMap
nidm:NIDM_0000003,nidm_ArbitrarilyCorrelatedError
nidm:NIDM_0000004,nidm_BinaryMap
nidm:NIDM_0000005,nidm_BinomialDistribution
nidm:NIDM_0000006,nidm_Cluster
nidm:NIDM_0000007,nidm_ClusterDefinitionCriteria
nidm:NIDM_0000008,nidm_ClusterLabelsMap
nidm:NIDM_0000009,nidm_Colin27CoordinateSystem
nidm:NIDM_0000011,nidm_ConjunctionInference
nidm:NIDM_0000012,nidm_ConnectivityCriterion
nidm:NIDM_0000013,nidm_ContrastStandardErrorMap
nidm:NIDM_0000014,nidm_LegendrePolynomialOrder
nidm:NIDM_0000015,nidm_Coordinate
nidm:NIDM_0000016,nidm_CoordinateSpace
nidm:NIDM_0000017,nidm_CustomCoordinateSystem
nidm:NIDM_0000018,nidm_DataScaling
nidm:NIDM_0000019,nidm_DesignMatrix
nidm:NIDM_0000020,nidm_DisplayMaskMap
nidm:NIDM_0000021,nidm_regressorNames
nidm:NIDM_0000022,nidm_ErrorDistribution
nidm:NIDM_0000023,nidm_ErrorModel
nidm:NIDM_0000024,nidm_ExchangeableError
nidm:NIDM_0000025,nidm_ExcursionSetMap
nidm:NIDM_0000026,nidm_ExtentThreshold
nidm:NIDM_0000027,nidm_NIDMResults
nidm:NIDM_0000028,nidm_FiniteImpulseResponseBasisSet
nidm:NIDM_0000029,nidm_GammaDifferenceHRF
nidm:NIDM_0000030,nidm_GammaBasisSet
nidm:NIDM_0000031,nidm_GammaHRF
nidm:NIDM_0000032,nidm_GaussianDistribution
nidm:NIDM_0000033,nidm_GrandMeanMap
nidm:NIDM_0000034,nidm_HeightThreshold
nidm:NIDM_0000035,nidm_HemodynamicResponseFunction
nidm:NIDM_0000036,nidm_ConvolutionBasisSet
nidm:NIDM_0000037,nidm_HemodynamicResponseFunctionDerivative
nidm:NIDM_0000038,nidm_Icbm452AirCoordinateSystem
nidm:NIDM_0000039,nidm_Icbm452Warp5CoordinateSystem
nidm:NIDM_0000040,nidm_IcbmMni152LinearCoordinateSystem
nidm:NIDM_0000041,nidm_IcbmMni152NonLinear2009aAsymmetricCoordinateSystem
nidm:NIDM_0000042,nidm_IcbmMni152NonLinear2009aSymmetricCoordinateSystem
nidm:NIDM_0000043,nidm_IcbmMni152NonLinear2009bAsymmetricCoordinateSystem
nidm:NIDM_0000044,nidm_IcbmMni152NonLinear2009bSymmetricCoordinateSystem
nidm:NIDM_0000045,nidm_IcbmMni152NonLinear2009cAsymmetricCoordinateSystem
nidm:NIDM_0000046,nidm_IcbmMni152NonLinear2009cSymmetricCoordinateSystem
nidm:NIDM_0000047,nidm_IcbmMni152NonLinear6thGenerationCoordinateSystem
nidm:NIDM_0000048,nidm_IndependentError
nidm:NIDM_0000049,nidm_Inference
nidm:NIDM_0000050,nidm_Ixi549CoordinateSystem
nidm:NIDM_0000051,nidm_MNICoordinateSystem
nidm:NIDM_0000052,nidm_Map
nidm:NIDM_0000053,nidm_MapHeader
nidm:NIDM_0000054,nidm_MaskMap
nidm:NIDM_0000055,nidm_Mni305CoordinateSystem
